Miền Bắc,25-10-2022,Quảng Ninh,ĐB,50604
Miền Bắc,25-10-2022,Quảng Ninh,1,02803
Miền Bắc,25-10-2022,Quảng Ninh,2,82308
Miền Bắc,25-10-2022,Quảng Ninh,2,14716
Miền Bắc,25-10-2022,Quảng Ninh,3,18849
Miền Bắc,25-10-2022,Quảng Ninh,3,52967
Miền Bắc,25-10-2022,Quảng Ninh,3,20498
Miền Bắc,25-10-2022,Quảng Ninh,3,02113
Miền Bắc,25-10-2022,Quảng Ninh,3,21235
Miền Bắc,25-10-2022,Quảng Ninh,3,00297
Miền Bắc,25-10-2022,Quảng Ninh,4,3440
Miền Bắc,25-10-2022,Quảng Ninh,4,7251
Miền Bắc,25-10-2022,Quảng Ninh,4,6372
Miền Bắc,25-10-2022,Quảng Ninh,4,5944
Miền Bắc,25-10-2022,Quảng Ninh,5,4127
Miền Bắc,25-10-2022,Quảng Ninh,5,9161
Miền Bắc,25-10-2022,Quảng Ninh,5,5584
Miền Bắc,25-10-2022,Quảng Ninh,5,1258
Miền Bắc,25-10-2022,Quảng Ninh,5,1074
Miền Bắc,25-10-2022,Quảng Ninh,5,5102
Miền Bắc,25-10-2022,Quảng Ninh,6,054
Miền Bắc,25-10-2022,Quảng Ninh,6,810
Miền Bắc,25-10-2022,Quảng Ninh,6,879
Miền Bắc,25-10-2022,Quảng Ninh,7,81
Miền Bắc,25-10-2022,Quảng Ninh,7,78
Miền Bắc,25-10-2022,Quảng Ninh,7,36
Miền Bắc,25-10-2022,Quảng Ninh,7,65
